customer_id,signup_date,country,region,age,gender
1,2023-09-16,Cuba,New Jersey,,Female
2,2023-11-27,Wallis and Futuna,Michigan,,Female
3,2025-02-22,Malaysia,Connecticut,32,Other
4,2024-09-03,Qatar,Michigan,,Other
5,2023-05-21,Comoros,North Carolina,,Female
6,2023-01-29,Israel,Nevada,38,Female
7,2025-05-01,Marshall Islands,West Virginia,,Other
8,2024-02-08,Djibouti,Nebraska,,Other
9,2023-12-10,Estonia,Florida,,Female
10,2023-05-22,Libyan Arab Jamahiriya,Maryland,,Female
11,2025-08-08,Heard Island and McDonald Islands,Iowa,,Female
12,2022-10-29,Turkey,Alaska,,Male
13,2025-04-19,Jordan,Iowa,,Female
14,2023-02-01,Portugal,New Mexico,,Male
15,2024-02-13,Malta,Indiana,,Other
16,2023-08-12,El Salvador,New Jersey,,Other
17,2023-04-12,South Africa,Vermont,,Female
18,2023-04-14,Benin,Iowa,19,Other
19,2023-03-05,Guatemala,Missouri,,Other
20,2023-01-11,Georgia,Delaware,55,Other
21,2025-05-23,Belize,South Dakota,,Other
22,2024-07-17,Malaysia,Hawaii,38,Male
23,2024-11-15,Lithuania,Ohio,,Male
24,2024-10-11,Andorra,Illinois,39,Female
25,2024-02-12,Singapore,Louisiana,,Female
26,2024-02-05,Germany,Indiana,66,Female
27,2024-02-10,Christmas Island,Florida,,Other
28,2023-11-09,Czech Republic,Indiana,32,Other
29,2025-02-24,Turkey,Kentucky,68,Male
30,2023-07-24,Canada,Mississippi,,Male
31,2022-12-09,Macao,West Virginia,,Female
32,2023-02-24,Rwanda,Nebraska,,Male
33,2022-12-08,Belize,Minnesota,,Male
34,2023-02-06,Nigeria,Mississippi,68,Male
35,2023-06-13,Albania,Wyoming,,Male
36,2025-07-19,Cayman Islands,Georgia,38,Male
37,2024-08-06,Mongolia,Arkansas,,Female
38,2024-06-13,Syrian Arab Republic,North Carolina,35,Female
39,2024-09-10,Libyan Arab Jamahiriya,Maryland,,Male
40,2024-01-22,Kiribati,West Virginia,,Female
41,2023-07-17,United States Minor Outlying Islands,Mississippi,,Other
42,2024-05-04,Tokelau,North Carolina,31,Male
43,2025-08-18,Iraq,Maryland,26,Other
44,2025-07-10,Sweden,West Virginia,,Female
45,2023-05-09,American Samoa,Washington,,Female
46,2024-02-11,Zambia,North Carolina,,Other
47,2024-03-13,Norfolk Island,Vermont,,Female
48,2022-10-19,Barbados,Georgia,,Male
49,2023-02-14,Tunisia,Pennsylvania,,Other
50,2023-08-27,Bolivia,West Virginia,25,Male
51,2025-07-12,Japan,Minnesota,52,Other
52,2023-07-02,Croatia,Idaho,,Female
53,2024-09-23,Mauritania,Delaware,67,Other
54,2022-09-18,Gambia,Colorado,,Other
55,2023-08-04,Greece,Utah,,Male
56,2024-03-12,Bahrain,South Carolina,19,Female
57,2022-12-12,Guam,Connecticut,,Male
58,2024-07-29,Saint Lucia,Rhode Island,,Female
59,2025-02-19,Afghanistan,Vermont,,Male
60,2023-08-24,Myanmar,Utah,21,Other
61,2024-12-12,Cyprus,Idaho,,Male
62,2024-03-02,Sudan,Illinois,,Female
63,2024-04-20,Croatia,Maryland,61,Female
64,2023-06-19,Russian Federation,Connecticut,31,Other
