order_id,customer_id,order_date,channel,currency,coupon_code,order_status
1,2820,2025-03-28,Online,EUR,,Pending
2,3310,2023-11-22,Retail,GBP,DISCOUNT20,Shipped
3,2829,2024-11-10,Mobile,EUR,Discount20,Pending
4,2471,2025-06-21,Online,USD,,Cancelled
5,3195,2025-03-26,Mobile,GBP,save10,Pending
6,4264,2024-12-14,Mobile,EUR,DISCOUNT20,Completed
7,4192,2025-07-08,Mobile,EUR,,Cancelled
8,1311,2025-08-22,Online,USD,Discount20,Cancelled
9,1978,2025-06-11,Retail,GBP,WELCOME,Completed
10,492,2024-04-19,Retail,EUR,save10,Cancelled
11,1015,2024-01-01,Online,GBP,SAVE10,Shipped
12,2441,2024-03-12,Mobile,GBP,SAVE10,Shipped
13,2777,2025-02-15,Online,GBP,,Pending
14,2870,2024-02-10,Retail,EUR,save10,Pending
15,3094,2023-10-01,Mobile,GBP,DISCOUNT20,Completed
16,2686,2024-03-08,Mobile,GBP,DISCOUNT20,Cancelled
17,3722,2025-07-10,Online,USD,save10,Shipped
18,3376,2023-11-20,Online,USD,SAVE10,Shipped
19,1066,2024-07-05,Retail,USD,WELCOME,Completed
20,3026,2024-04-29,Mobile,GBP,WELCOME,Shipped
21,2161,2024-12-21,Mobile,EUR,save10,Shipped
22,3606,2025-05-27,Mobile,EUR,save10,Shipped
23,1335,2025-03-27,Online,GBP,DISCOUNT20,Shipped
24,3750,2024-09-07,Online,GBP,,Completed
25,1742,2024-02-21,Retail,EUR,SAVE10,Pending
26,4580,2025-08-18,Retail,USD,,Shipped
27,904,2024-10-06,Online,EUR,,Cancelled
28,330,2025-02-20,Mobile,USD,SAVE10,Cancelled
29,2498,2024-11-15,Retail,EUR,SUMMER,Shipped
30,230,2023-10-22,Online,USD,Discount20,Shipped
31,399,2025-06-01,Retail,EUR,DISCOUNT20,Pending
32,4005,2024-07-24,Online,USD,,Cancelled
33,554,2025-07-27,Online,EUR,WELCOME,Cancelled
34,4635,2025-07-07,Retail,EUR,Discount20,Shipped
35,3894,2024-07-28,Mobile,GBP,DISCOUNT20,Pending
36,4136,2025-04-12,Mobile,EUR,Discount20,Shipped
37,3679,2024-04-04,Online,GBP,SUMMER,Completed
38,3356,2025-08-11,Retail,USD,WELCOME,Cancelled
