product_id,category,subcategory,brand,price,cost
1,Electronics,Mobile,"Blair, Blanchard and Williams",1484.39,739.16
2,Clothing,Kids,"Woods, Crawford and Ruiz",209.48,145.85
3,Toys,Action,"Thompson, Rodriguez and Barnes",1183.03,488.25
4,Electronics,Mobile,Stevenson-Lowery,469.16,300.64
5,Toys,Action,"Knight, Bell and Mccarthy",1433.46,975.51
6,Books,Fiction,Lopez-Nelson,901.17,460.75
7,Electronics,Mobile,Moore and Sons,1397.79,749.36
8,Clothing,Men,Johnson-Smith,1914.64,1023.64
9,Electronics,Laptop,"Rice, Silva and Marshall",197.95,146.28
10,Toys,Educational,Gonzales and Sons,1615.22,1117.56
11,Toys,Action,"Cooper, Wilson and Hanna",1946.37,1073.26
12,Toys,Educational,Martin Group,1659.66,1074.48
13,Home,Decor,"Guzman, Torres and Gonzalez",388.62,166.26
14,Clothing,Women,Bell-Boyd,1970.52,1462.38
15,Electronics,Laptop,Ramsey and Sons,559.56,366.11
16,Home,Furniture,Cruz LLC,743.51,359.71
17,Home,Decor,"Walker, Craig and Colon",1873.63,1235.12
18,Toys,Board,"Cordova, Fowler and Odonnell",346.42,239.6
19,Clothing,Women,Palmer-Duke,762.01,606.41
20,Toys,Action,Sellers Group,1370.81,1010.48
21,Electronics,Mobile,Jackson-Long,1644.5,1187.36
22,Books,Non-Fiction,"Colon, Patel and Morris",137.05,104.88
23,Toys,Board,Palmer-Harvey,632.78,419.01
24,Books,Comics,Hill-Ray,920.41,465.68
25,Clothing,Kids,Torres and Sons,1124.93,568.2
26,Toys,Educational,"Le, Smith and Peck",1796.16,1005.42
27,Clothing,Men,Ramirez Inc,1021.5,445.75
28,Electronics,Mobile,Barrett-Zamora,309.92,143.8
29,Books,Comics,Brewer Inc,131.74,72.81
30,Books,Comics,Roberts Inc,506.57,314.73
31,Electronics,Camera,Moore Group,1442.84,970.58
32,Toys,Educational,"Brown, Carlson and Byrd",1538.35,824.66
33,Home,Kitchen,Franco PLC,320.52,128.62
34,Home,Decor,"Wright, Henderson and Fernandez",1525.11,919.75
35,Electronics,Camera,Koch PLC,600.4,393.61
36,Toys,Action,Johnson-Willis,309.91,218.49
37,Toys,Board,Medina PLC,1837.39,1175.15
38,Books,Fiction,"Moreno, Jackson and Black",228.18,124.4
39,Home,Furniture,Robertson PLC,120.56,90.57
40,Electronics,Mobile,"Morrison, Delgado and Grimes",1465.16,1064.31
41,Toys,Action,"Johnson, Hodge and Lewis",261.14,154.1
42,Toys,Action,"Reed, Cook and Moon",533.79,399.79
43,Books,Fiction,Flores LLC,1858.18,1304.64
44,Clothing,Kids,Williams-Boyd,626.87,500.28
45,Home,Kitchen,Hooper PLC,1799.73,1044.91
46,Clothing,Men,Robles LLC,132.73,54.21
47,Toys,Action,Cross LLC,1178.94,474.97
48,Electronics,Mobile,"Wheeler, Walker and Evans",139.46,57.54
49,Home,Furniture,"Gutierrez, Taylor and Cole",1030.74,527.11
50,Books,Fiction,Chambers-Wiggins,1080.77,745.02
51,Toys,Board,"Blevins, Reed and Hancock",947.98,676.71
52,Books,Fiction,"Dalton, Crawford and Johnson",193.18,128.19
53,Home,Kitchen,Young-Smith,825.15,615.18
54,Electronics,Camera,Tucker-Moore,1308.64,861.7
55,Electronics,Laptop,Smith Inc,1457.79,1049.95
56,Electronics,Mobile,"Glass, Johnson and Greene",387.22,237.95
57,Clothing,Women,"Moreno, Johnston and Mcpherson",371.06,217.09
58,Electronics,Laptop,Kim PLC,1617.0,1200.44
59,Electronics,Mobile,"Wilson, Logan and Jones",1306.03,804.82
60,Electronics,Mobile,"Hammond, Miller and Dorsey",1853.1,1370.33
61,Clothing,Women,Taylor-Williams,973.85,472.8
62,Books,Fiction,Thomas-Bird,333.45,133.67
63,Books,Non-Fiction,"Reid, Webb and Harris",1853.4,1323.42
64,Home,Kitchen,Roberson and Sons,1394.7,965.41
65,Toys,Board,Armstrong-Phelps,1438.22,664.34
66,Home,Furniture,Church Ltd,1937.58,1223.92
67,Toys,Action,"Torres, Hamilton and Boone",1497.21,633.12
68,Toys,Educational,Schmidt Group,1008.19,747.16
69,Clothing,Men,Martin PLC,1921.75,830.28
70,Clothing,Men,"Wright, Martinez and Bell",1192.1,798.81
71,Clothing,Women,"Leon, Turner and Jackson",244.17,184.62
72,Clothing,Kids,Brown-Graham,1191.07,771.52
73,Books,Comics,Wolfe LLC,1169.43,712.32
74,Home,Furniture,"Webb, Butler and Jones",1341.1,704.98
75,Home,Kitchen,"Murphy, Farmer and Watson",266.1,175.15
76,Books,Non-Fiction,Mason PLC,1858.39,1438.94
77,Electronics,Laptop,"Smith, Long and Ball",1244.21,777.88
78,Electronics,Mobile,White PLC,1077.58,649.08
79,Clothing,Women,"Hernandez, Stone and Winters",1762.32,1324.75
80,Home,Kitchen,Martinez Inc,319.7,234.5
81,Home,Decor,Vazquez Ltd,1967.79,1422.4
82,Toys,Action,Cummings LLC,1337.39,831.64
83,Electronics,Mobile,Hernandez-Stone,532.61,402.59
84,Toys,Action,"Butler, Keller and Eaton",548.33,351.99
85,Home,Furniture,Turner PLC,1376.56,1020.26
86,Toys,Educational,"Bates, Taylor and Conley",505.99,386.2
87,Electronics,Mobile,Ortega Inc,1270.4,929.6
88,Electronics,Mobile,Malone-Peterson,670.45,303.26
89,Home,Furniture,Davis PLC,1483.76,920.93
90,Books,Comics,King and Sons,24.29,10.45
91,Clothing,Kids,Mcclure and Sons,76.88,42.11
92,Toys,Action,Moore Group,862.42,359.4
93,Home,Furniture,"Graves, Chapman and Watts",1798.35,870.46
94,Clothing,Kids,Cisneros-Sims,210.07,149.58
95,Books,Comics,Miranda Group,1500.21,1155.62
96,Clothing,Men,Costa-Frazier,1952.53,1414.23
97,Books,Fiction,Lozano-Gilbert,362.82,279.3
98,Books,Comics,Simmons Group,1728.81,1252.18
99,Home,Furniture,Foley-Wade,1575.81,698.46
100,Electronics,Laptop,Walker Inc,448.76,326.08
101,Books,Non-Fiction,"Greer, Barker and Roberts",613.86,440.84
102,Clothing,Men,Austin and Sons,52.21,24.92
103,Home,Kitchen,Mcdaniel LLC,1729.38,1360.6
104,Home,Kitchen,Coleman-Torres,1284.76,719.3
105,Toys,Educational,Davis-Murphy,1878.78,838.19
106,Home,Furniture,"Buchanan, Davis and Jones",1163.28,922.97
107,Electronics,Mobile,Guzman-Cooke,1195.16,643.32
108,Home,Kitchen,Lowe-Jones,1214.39,734.18
109,Books,Comics,Brandt and Sons,384.21,160.51
110,Books,Fiction,Kelly-Carlson,1042.24,753.13
111,Clothing,Women,"Munoz, Parker and Brown",865.44,674.65
112,Home,Decor,Silva and Sons,631.26,466.63
113,Home,Decor,Perez Inc,622.02,350.42
114,Books,Comics,"Mitchell, Rodriguez and Harvey",594.83,268.22
115,Books,Comics,"Eaton, Mejia and Flores",1881.03,1262.03
116,Clothing,Kids,"Reyes, Sanders and Knox",1140.36,641.37
117,Electronics,Laptop,"Taylor, Johnston and Norton",577.39,330.24
118,Toys,Board,"Cline, Richardson and Perez",1311.14,768.32
119,Books,Comics,Moreno LLC,431.33,254.17
120,Clothing,Kids,Johnson and Sons,174.17,105.58
121,Toys,Educational,"Evans, Rodriguez and Thompson",191.31,149.37
122,Clothing,Kids,"Spencer, Guzman and Baker",624.29,451.13
123,Clothing,Men,Ortiz-Cook,97.2,77.14
124,Toys,Action,"Lin, Zimmerman and Davidson",913.56,689.24
125,Toys,Action,"Howard, Velasquez and Smith",1438.1,796.12
126,Books,Fiction,Page and Sons,299.4,202.11
127,Electronics,Laptop,"Perkins, Werner and Byrd",441.59,318.67
128,Toys,Educational,"Hughes, Reynolds and Johnson",105.19,52.56
129,Electronics,Laptop,"Leon, Herrera and Cruz",271.01,158.77
130,Toys,Board,Hall-Gallegos,1192.93,930.5
131,Books,Comics,Nash-Singh,1630.94,1234.31
132,Books,Comics,"Leonard, Price and Garrett",894.6,414.79
133,Books,Non-Fiction,Fisher Inc,522.09,260.47
134,Home,Decor,Arnold-Johnson,971.77,481.7
135,Books,Fiction,Byrd Group,1428.52,705.4
136,Home,Kitchen,Nelson-Bell,1786.59,772.22
